category,level,genre,ntwk,metric_share,client_metric,prog_metric,client_share,affinity_denom,Genre Share,Client Genre Share,Affinity,Overall Share
Kushi TV,Telugu Kids,Telugu Kids,OTHERS,51.7046535,15.448878,51.7046535,15.448878,,100.0,100.0,,0.138424919306
Life OK,Hindi GEC,Hindi GEC,Star Network,24252.32354,650.722518,2673.000697,5425.3185285,3735.368675,11.0216272375,11.9941808869,71.5592202422,5.83059896288
Life Ok HD,Hindi GEC,Hindi GEC,Star Network,24252.32354,2.132809,4.0306025,5425.3185285,7.060741,0.0166194488266,0.0393121434031,57.0846955015,0.0191103790009
Living India News,Hindi News,Hindi News,OTHERS,3967.655552,,1.6372435,22.033993,,0.0412647589626,,,
M Tunes,Hindi Music,Hindi Music,OTHERS,1844.2041725,5.563165,78.0345785,279.5362545,,4.23134160868,1.99014078154,,0.0498470287751
MAA,Telugu GEC,Telugu GEC,Star Network,6087.3425355,144.4009255,1559.6740945,903.2600595,1559.6740945,25.6215924339,15.9866390616,100.0,1.29386007579
MAIBOLI,Marathi GEC,Marathi GEC,OTHERS,1828.675765,58.829062,87.906818,453.124157,537.4309195,4.80712981943,12.9829895606,16.3568590512,0.527119714465
MN+,English Movies,English Movies,Times Group,316.0944775,,0.906302,18.545948,,0.286718707384,,,
MTV,Hindi Youth,Hindi Youth,Viacom,360.9866625,6.27324,150.278125,29.1549745,340.9803015,41.6298275286,21.5168769913,44.0723773012,0.0562094373963
MTunes HD,Hindi Music,Hindi Music,OTHERS,1844.2041725,0.452999,6.1952335,279.5362545,,0.335929914506,0.162053756072,,0.00405895819881
MUSIC F FATAFATI,Bengali Music,Bengali Music,OTHERS,56.6452365,5.4252285,10.8192645,9.5080385,,19.1000429489,57.0593871701,,0.0486110911955
Maa GOLD,Telugu GEC,Telugu GEC,Star Network,6087.3425355,22.3728875,104.497358,903.2600595,,1.71663344704,2.47690432724,,0.200465376632
Maa Movies,Telugu Movies,Telugu Movies,Star Network,894.071624,74.0193,288.568544,117.180954,,32.2757748097,63.1666644393,,0.663227169608
Maa Music,Telugu Music,Telugu Music,Star Network,288.718172,14.908272,94.9805225,45.9749645,,32.8973136128,32.4269353161,,0.133580985531
Manoranjan TV,Hindi Movies,Hindi Movies,OTHERS,10244.0330855,29.420403,57.2822795,745.0048915,66.396677,0.559177025512,3.94902145418,86.2728107613,0.263612471482
Mastiii,Hindi Music,Hindi Music,OTHERS,1844.2041725,7.2605455,295.371793,279.5362545,418.7506185,16.0162197551,2.59735378976,70.5364433987,0.0650558846378
Mazhavil Manorama,Malayalam GEC,Malayalam GEC,OTHERS,2705.6142805,,522.3177375,196.830327,522.3177375,19.3049593678,,100.0,
Media One TV,Malayalam GEC,Malayalam GEC,OTHERS,2705.6142805,,3.7985635,196.830327,,0.140395603593,,,
Mi Marathi,Marathi GEC,Marathi GEC,OTHERS,1828.675765,0.0,0.0,453.124157,0.0,0.0,0.0,,0.0
Movies Now,English Movies,English Movies,Times Group,316.0944775,4.933438,73.3624575,18.545948,104.466233,23.2090285412,26.601163769,70.2260006829,0.0442045536931
Movies OK,Hindi Movies,Hindi Movies,Star Network,10244.0330855,71.5273855,946.2807585,745.0048915,1409.5523645,9.23738483273,9.60092830478,67.1334235132,0.640899136233
Music India,Hindi Music,Hindi Music,OTHERS,1844.2041725,38.422648,57.2729275,279.5362545,65.6019,3.10556327515,13.745139452,87.3037633056,0.34427431875
Music Xpress,Hindi Music,Hindi Music,OTHERS,1844.2041725,0.970726,3.578645,279.5362545,6.659759,0.194048199942,0.347263005915,53.7353528859,0.00869789173154
NAT GEO PEOPLE,English INFO,English INFO,Star Network,826.2188965,,0.044424,15.523901,,0.00537678334255,,,
NDTV Good Times,English Lifestyle,English Lifestyle,NDTV Group,50.0434015,0.17506,4.997454,4.849767,7.321668,9.9862396444,3.60965794852,68.2556761656,0.00156857128224
NDTV India,Hindi News,Hindi News,NDTV Group,3967.655552,,177.7092945,22.033993,349.595,4.47894965102,,50.8329050759,
NEO Prime,Sports,Sports,Nimbus,828.6766034,,0.0306945,61.7129135,0.0306945,0.00370403844806,,100.0,
NEO Sports,Sports,Sports,Nimbus,828.6766034,,0.346077,61.7129135,0.346077,0.0417626126501,,100.0,
NEWS NATION,Hindi News,Hindi News,OTHERS,3967.655552,,353.5190105,22.033993,,8.91002270401,,,
