"EPA Beefing Up Emissions Tests in Wake VW, Audi Cheating Scandal - U.S. News & World Report","Fri, 25 Sep 2015 17:04:04 GMT",http://www.usnews.com/news/articles/2015/09/25/epa-beefing-up-emissions-tests-in-wake-vw-audi-cheating-scandal,U.S. News & World Report,Audi
"EPA Beefing Up Emissions Tests in Wake VW, Audi Cheating Scandal - U.S. News & World Report","Fri, 25 Sep 2015 17:04:04 GMT",http://www.usnews.com/news/articles/2015/09/25/epa-beefing-up-emissions-tests-in-wake-vw-audi-cheating-scandal,U.S. News & World Report,Audi
Edoardo Mortara clinches second place for Audi - Motorsport.com,"Sat, 26 Sep 2015 18:00:01 GMT",http://www.motorsport.com/dtm/news/edoardo-mortara-clinches-second-place-for-audi/,Motorsport.com,Audi
"EPA Beefing Up Emissions Tests in Wake VW, Audi Cheating Scandal - U.S. News & World Report","Fri, 25 Sep 2015 17:04:04 GMT",http://www.usnews.com/news/articles/2015/09/25/epa-beefing-up-emissions-tests-in-wake-vw-audi-cheating-scandal,U.S. News & World Report,Audi
Edoardo Mortara clinches second place for Audi - Motorsport.com,"Sat, 26 Sep 2015 18:00:01 GMT",http://www.motorsport.com/dtm/news/edoardo-mortara-clinches-second-place-for-audi/,Motorsport.com,Audi
"EPA Beefing Up Emissions Tests in Wake VW, Audi Cheating Scandal - U.S. News & World Report","Fri, 25 Sep 2015 17:04:04 GMT",http://www.usnews.com/news/articles/2015/09/25/epa-beefing-up-emissions-tests-in-wake-vw-audi-cheating-scandal,U.S. News & World Report,Audi
Edoardo Mortara clinches second place for Audi - Motorsport.com,"Sat, 26 Sep 2015 18:00:01 GMT",http://www.motorsport.com/dtm/news/edoardo-mortara-clinches-second-place-for-audi/,Motorsport.com,Audi
"EPA Beefing Up Emissions Tests in Wake VW, Audi Cheating Scandal - U.S. News & World Report","Fri, 25 Sep 2015 17:04:04 GMT",http://www.usnews.com/news/articles/2015/09/25/epa-beefing-up-emissions-tests-in-wake-vw-audi-cheating-scandal,U.S. News & World Report,Audi
Edoardo Mortara clinches second place for Audi - Motorsport.com,"Sat, 26 Sep 2015 18:00:01 GMT",http://www.motorsport.com/dtm/news/edoardo-mortara-clinches-second-place-for-audi/,Motorsport.com,Audi
"EPA Beefing Up Emissions Tests in Wake VW, Audi Cheating Scandal - U.S. News & World Report","Fri, 25 Sep 2015 17:04:04 GMT",http://www.usnews.com/news/articles/2015/09/25/epa-beefing-up-emissions-tests-in-wake-vw-audi-cheating-scandal,U.S. News & World Report,Audi
Edoardo Mortara clinches second place for Audi - Motorsport.com,"Sat, 26 Sep 2015 18:00:01 GMT",http://www.motorsport.com/dtm/news/edoardo-mortara-clinches-second-place-for-audi/,Motorsport.com,Audi
"EPA Beefing Up Emissions Tests in Wake VW, Audi Cheating Scandal - U.S. News & World Report","Fri, 25 Sep 2015 17:04:04 GMT",http://www.usnews.com/news/articles/2015/09/25/epa-beefing-up-emissions-tests-in-wake-vw-audi-cheating-scandal,U.S. News & World Report,Audi
Edoardo Mortara clinches second place for Audi - Motorsport.com,"Sat, 26 Sep 2015 18:00:01 GMT",http://www.motorsport.com/dtm/news/edoardo-mortara-clinches-second-place-for-audi/,Motorsport.com,Audi
"EPA Beefing Up Emissions Tests in Wake VW, Audi Cheating Scandal - U.S. News & World Report","Fri, 25 Sep 2015 17:04:04 GMT",http://www.usnews.com/news/articles/2015/09/25/epa-beefing-up-emissions-tests-in-wake-vw-audi-cheating-scandal,U.S. News & World Report,Audi
Edoardo Mortara clinches second place for Audi - Motorsport.com,"Sat, 26 Sep 2015 18:00:01 GMT",http://www.motorsport.com/dtm/news/edoardo-mortara-clinches-second-place-for-audi/,Motorsport.com,Audi
"EPA Beefing Up Emissions Tests in Wake VW, Audi Cheating Scandal - U.S. News & World Report","Fri, 25 Sep 2015 17:04:04 GMT",http://www.usnews.com/news/articles/2015/09/25/epa-beefing-up-emissions-tests-in-wake-vw-audi-cheating-scandal,U.S. News & World Report,Audi
Edoardo Mortara clinches second place for Audi - Motorsport.com,"Sat, 26 Sep 2015 18:00:01 GMT",http://www.motorsport.com/dtm/news/edoardo-mortara-clinches-second-place-for-audi/,Motorsport.com,Audi
"EPA Beefing Up Emissions Tests in Wake VW, Audi Cheating Scandal - U.S. News & World Report","Fri, 25 Sep 2015 17:04:04 GMT",http://www.usnews.com/news/articles/2015/09/25/epa-beefing-up-emissions-tests-in-wake-vw-audi-cheating-scandal,U.S. News & World Report,Audi
Edoardo Mortara clinches second place for Audi - Motorsport.com,"Sat, 26 Sep 2015 18:00:01 GMT",http://www.motorsport.com/dtm/news/edoardo-mortara-clinches-second-place-for-audi/,Motorsport.com,Audi
"EPA Beefing Up Emissions Tests in Wake VW, Audi Cheating Scandal - U.S. News & World Report","Fri, 25 Sep 2015 17:04:04 GMT",http://www.usnews.com/news/articles/2015/09/25/epa-beefing-up-emissions-tests-in-wake-vw-audi-cheating-scandal,U.S. News & World Report,Audi
Edoardo Mortara clinches second place for Audi - Motorsport.com,"Sat, 26 Sep 2015 18:00:01 GMT",http://www.motorsport.com/dtm/news/edoardo-mortara-clinches-second-place-for-audi/,Motorsport.com,Audi
"EPA Beefing Up Emissions Tests in Wake VW, Audi Cheating Scandal - U.S. News & World Report","Fri, 25 Sep 2015 17:04:04 GMT",http://www.usnews.com/news/articles/2015/09/25/epa-beefing-up-emissions-tests-in-wake-vw-audi-cheating-scandal,U.S. News & World Report,Audi
